rhsa,package,cve,source,url,status_code,error_detail
RHSA-2025:1068,kernel,CVE-2024-26935,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:1068.json,200,
RHSA-2025:1068,kernel,CVE-2024-50275,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:1068.json,200,
RHSA-2025:10698,libxml2,CVE-2025-49794,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:10698.json,200,
RHSA-2025:10698,libxml2,CVE-2025-49796,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:10698.json,200,
RHSA-2025:10698,libxml2,CVE-2025-6021,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:10698.json,200,
RHSA-2025:10991,microcode_ctl,CVE-2024-28956,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:10991.json,200,
RHSA-2025:10991,microcode_ctl,CVE-2024-43420,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:10991.json,200,
RHSA-2025:10991,microcode_ctl,CVE-2024-45332,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:10991.json,200,
RHSA-2025:10991,microcode_ctl,CVE-2025-20012,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:10991.json,200,
RHSA-2025:10991,microcode_ctl,CVE-2025-20623,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:10991.json,200,
RHSA-2025:10991,microcode_ctl,CVE-2025-24495,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:10991.json,200,
RHSA-2025:11030,emacs,CVE-2024-53920,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11030.json,200,
RHSA-2025:11035,lz4,CVE-2019-17543,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11035.json,200,
RHSA-2025:11298,kernel,CVE-2022-49058,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11298.json,200,
RHSA-2025:11298,kernel,CVE-2022-49788,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11298.json,200,
RHSA-2025:11298,kernel,CVE-2024-57980,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11298.json,200,
RHSA-2025:11298,kernel,CVE-2024-58002,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11298.json,200,
RHSA-2025:11298,kernel,CVE-2025-21991,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11298.json,200,
RHSA-2025:11298,kernel,CVE-2025-22004,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11298.json,200,
RHSA-2025:11298,kernel,CVE-2025-23150,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11298.json,200,
RHSA-2025:11298,kernel,CVE-2025-37738,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11298.json,200,
RHSA-2025:11327,glib2,CVE-2024-34397,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11327.json,200,
RHSA-2025:11327,glib2,CVE-2024-52533,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11327.json,200,
RHSA-2025:11327,glib2,CVE-2025-4373,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11327.json,200,
RHSA-2025:11455,kernel,CVE-2024-50154,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11455.json,200,
RHSA-2025:11455,kernel,CVE-2025-38086,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11455.json,200,
RHSA-2025:11805,perl,CVE-2025-40909,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11805.json,200,
RHSA-2025:11850,kernel,CVE-2022-49977,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11850.json,200,
RHSA-2025:11850,kernel,CVE-2025-21905,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11850.json,200,
RHSA-2025:11850,kernel,CVE-2025-21919,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11850.json,200,
RHSA-2025:11850,kernel,CVE-2025-38393,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11850.json,200,
RHSA-2025:11884,unbound,CVE-2025-5994,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:11884.json,200,
RHSA-2025:12010,sqlite,CVE-2025-6965,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:12010.json,200,
