uic,unit,mcn,maint_act_sts,maint_act_dttm
00246,AIMD NAS NORTH ISLAN,P9AZLK4,A1,2022-03-15 07:07:00
00246,AIMD NAS NORTH ISLAN,P9AZLK4,M3,2022-03-15 07:10:34.613000
00246,AIMD NAS NORTH ISLAN,P9AZKEX,WP,2022-03-08 08:00:59
00246,AIMD NAS NORTH ISLAN,P9AZKEX,M3,2022-03-23 15:10:59
00246,AIMD NAS NORTH ISLAN,P9AZWPD,A1,2022-06-15 14:00:59
00246,AIMD NAS NORTH ISLAN,P9AZWPD,M3,2022-06-15 14:10:59
00246,AIMD NAS NORTH ISLAN,P9AZWPD,IW,2022-06-15 14:20:59
00246,AIMD NAS NORTH ISLAN,P9AZWPD,WS,2022-06-15 14:30:59
00246,AIMD NAS NORTH ISLAN,P9AZY4L,M3,2022-07-05 06:18:00
00246,AIMD NAS NORTH ISLAN,P9AZY4M,M3,2022-07-05 06:18:00
00246,AIMD NAS NORTH ISLAN,P9AZZ0C,A1,2022-07-12 10:27:00
00246,AIMD NAS NORTH ISLAN,P9AZZ0C,M3,2022-07-12 11:04:15.693000
00246,AIMD NAS NORTH ISLAN,P9AZZYK,A1,2022-07-20 09:35:00
00246,AIMD NAS NORTH ISLAN,P9A00EN,A1,2022-07-25 13:47:00
00246,AIMD NAS NORTH ISLAN,P9A00EN,M3,2022-07-25 14:25:48.770000
00246,AIMD NAS NORTH ISLAN,P9A00EN,IW,2022-07-27 10:00:59
00246,AIMD NAS NORTH ISLAN,P9AZZYK,M3,2022-07-20 09:35:59
00246,AIMD NAS NORTH ISLAN,P9AZZYK,IW,2022-07-27 10:00:59
00246,AIMD NAS NORTH ISLAN,P9A018U,A1,2022-08-03 10:11:00
00246,AIMD NAS NORTH ISLAN,P9A018U,M3,2022-08-03 10:18:02.243000
00246,AIMD NAS NORTH ISLAN,P9A018U,IW,2022-08-03 12:00:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,A1,2022-08-09 07:48:00
00246,AIMD NAS NORTH ISLAN,P9A02RF,A1,2022-08-17 12:37:00
00246,AIMD NAS NORTH ISLAN,P9A02R8,A1,2022-08-17 12:27:00
00246,AIMD NAS NORTH ISLAN,P9A02SF,A1,2022-08-18 06:14:00
00246,AIMD NAS NORTH ISLAN,P9A028Z,M3,2022-08-15 06:21:00
00246,AIMD NAS NORTH ISLAN,P9A01S0,M3,2022-08-09 08:03:28.670000
00246,AIMD NAS NORTH ISLAN,P9A01S0,IW,2022-08-23 07:00:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,WS,2022-08-23 07:05:59
00246,AIMD NAS NORTH ISLAN,P9A02SF,M3,2022-08-18 06:51:47.286000
00246,AIMD NAS NORTH ISLAN,P9AZWPD,WP,2022-06-15 15:01:59
00246,AIMD NAS NORTH ISLAN,P9A02SF,IW,2022-08-29 06:00:59
00246,AIMD NAS NORTH ISLAN,P9A02SF,M3,2022-08-29 14:00:59
00246,AIMD NAS NORTH ISLAN,P9AZWPD,M6,2022-08-29 10:39:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,WP,2022-08-23 11:49:59
00246,AIMD NAS NORTH ISLAN,P9A02SF,IW,2022-08-30 06:00:59
00246,AIMD NAS NORTH ISLAN,P9AZJF6,M3,2022-02-24 09:12:17.036000
00246,AIMD NAS NORTH ISLAN,P9AZJF6,IW,2022-09-07 13:00:59
00246,AIMD NAS NORTH ISLAN,P9AZJF6,WS,2022-09-07 13:45:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,M6,2022-08-30 11:04:59
00246,AIMD NAS NORTH ISLAN,40BCL1S,A1,2022-08-16 10:06:00
00246,AIMD NAS NORTH ISLAN,40BCL1S,M3,2022-08-16 10:06:59
00246,AIMD NAS NORTH ISLAN,40BCL1S,IW,2022-08-18 05:45:59
00246,AIMD NAS NORTH ISLAN,40BCL1S,M3,2022-08-18 14:00:59
00246,AIMD NAS NORTH ISLAN,40BCL1S,IW,2022-08-22 07:30:59
00246,AIMD NAS NORTH ISLAN,P9A02SF,M8,2022-08-30 12:00:59
00246,AIMD NAS NORTH ISLAN,P9A02SF,IW,2022-09-15 06:00:59
00246,AIMD NAS NORTH ISLAN,P9A02SF,M3,2022-09-15 07:00:59
00246,AIMD NAS NORTH ISLAN,P9A02RF,M3,2022-08-17 15:05:48.480000
00246,AIMD NAS NORTH ISLAN,P9A02R8,M3,2022-08-17 15:05:51.556000
00246,AIMD NAS NORTH ISLAN,P9A02SF,M8,2022-09-19 08:17:59
00246,AIMD NAS NORTH ISLAN,P9A02SF,IW,2022-09-20 09:00:59
00246,AIMD NAS NORTH ISLAN,P9A02SF,M3,2022-09-20 14:00:59
00246,AIMD NAS NORTH ISLAN,P9AZJF6,WP,2022-09-07 13:57:59
00246,AIMD NAS NORTH ISLAN,P9AZJF6,M6,2022-10-03 08:41:59
00246,AIMD NAS NORTH ISLAN,P9A097N,A1,2022-10-18 12:59:00
00246,AIMD NAS NORTH ISLAN,P9AZWPD,M3,2022-08-30 09:57:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,A1,2022-10-26 09:48:00
00246,AIMD NAS NORTH ISLAN,P9A0A39,M3,2022-10-26 10:18:56.996000
00246,AIMD NAS NORTH ISLAN,P9A0A39,IW,2022-11-01 06:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,WS,2022-11-01 07:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,WP,2022-11-01 08:00:59
00246,AIMD NAS NORTH ISLAN,P9A097N,M3,2022-10-18 13:01:20
00246,AIMD NAS NORTH ISLAN,P9A097N,IW,2022-11-10 11:00:59
00246,AIMD NAS NORTH ISLAN,P9AZWPD,M8,2022-10-19 16:17:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,M6,2022-11-04 10:41:59
00246,AIMD NAS NORTH ISLAN,P9A0DRM,M3,2022-12-01 10:33:00
00246,AIMD NAS NORTH ISLAN,P9AZMUL,A1,2022-03-24 14:10:00
00246,AIMD NAS NORTH ISLAN,P9AZMUL,M3,2022-03-24 14:10:59
00246,AIMD NAS NORTH ISLAN,P9AZMUL,IW,2022-07-27 08:30:59
00246,AIMD NAS NORTH ISLAN,P9AZMUL,WP,2022-07-27 11:00:59
00246,AIMD NAS NORTH ISLAN,P9AZMUL,M6,2022-09-21 09:10:59
00246,AIMD NAS NORTH ISLAN,P9AZMUL,IW,2022-09-27 12:05:59
00246,AIMD NAS NORTH ISLAN,P9A018U,M3,2022-08-03 13:30:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,M3,2022-12-01 12:44:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,IW,2022-12-28 06:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,WS,2022-12-28 06:30:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,WP,2022-12-28 09:17:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,M6,2022-12-29 10:04:59
00246,AIMD NAS NORTH ISLAN,P9A0H0N,A1,2023-01-09 12:12:00
00246,AIMD NAS NORTH ISLAN,P9A0H0N,M3,2023-01-09 12:14:12.866000
00246,AIMD NAS NORTH ISLAN,P9A0H0N,IW,2023-01-11 07:30:59
00246,AIMD NAS NORTH ISLAN,P9A0H7X,A1,2023-01-11 09:00:59
00246,AIMD NAS NORTH ISLAN,P9A0H7X,M3,2023-01-11 09:03:59
00246,AIMD NAS NORTH ISLAN,P9A0H7X,IW,2023-01-11 09:15:59
00246,AIMD NAS NORTH ISLAN,P9A0H7X,WS,2023-01-11 09:30:59
00246,AIMD NAS NORTH ISLAN,P9A0H0N,M3,2023-01-11 08:00:59
00246,AIMD NAS NORTH ISLAN,P9A0H0N,IW,2023-01-17 09:45:59
00246,AIMD NAS NORTH ISLAN,P9A0H0N,M3,2023-01-17 14:00:59
00246,AIMD NAS NORTH ISLAN,P9A0H0N,IW,2023-01-18 06:00:59
00246,AIMD NAS NORTH ISLAN,P9A0H0N,M3,2023-01-18 14:00:59
00246,AIMD NAS NORTH ISLAN,P9A0H0N,IW,2023-01-19 06:00:59
00246,AIMD NAS NORTH ISLAN,P9A0JV7,A1,2023-01-25 11:19:00
00246,AIMD NAS NORTH ISLAN,P9A0JV7,M3,2023-01-25 12:02:31.186000
00246,AIMD NAS NORTH ISLAN,P9A0JV7,IW,2023-01-25 13:15:59
00246,AIMD NAS NORTH ISLAN,P9AZZYK,WP,2022-07-27 10:30:59
00246,AIMD NAS NORTH ISLAN,P9AZZYK,IW,2023-01-30 13:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,M3,2023-01-09 07:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,IW,2023-02-08 13:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,M3,2023-02-08 13:06:59
00246,AIMD NAS NORTH ISLAN,P9A018U,M8,2022-12-21 09:45:59
00246,AIMD NAS NORTH ISLAN,P9A018U,M3,2023-02-09 07:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,WP,2023-02-08 13:05:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,IW,2023-02-09 08:50:59
00246,AIMD NAS NORTH ISLAN,P9A018U,IW,2023-02-09 08:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,WS,2023-02-09 08:59:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,WP,2023-02-09 11:09:59
00246,AIMD NAS NORTH ISLAN,P9A0H0N,M3,2023-01-19 13:30:59
00246,AIMD NAS NORTH ISLAN,P9A0H0N,IW,2023-02-14 07:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,M6,2023-02-10 10:19:59
00246,AIMD NAS NORTH ISLAN,P9AZWPD,M3,2022-11-15 09:07:59
00246,AIMD NAS NORTH ISLAN,P9A018U,M3,2023-02-09 09:00:59
00246,AIMD NAS NORTH ISLAN,P9A097N,M3,2022-11-10 12:30:59
00246,AIMD NAS NORTH ISLAN,P9A0N9T,A1,2023-02-27 07:46:59
00246,AIMD NAS NORTH ISLAN,P9A0N9T,M3,2023-02-27 07:52:59
00246,AIMD NAS NORTH ISLAN,P9A0N9T,IW,2023-02-27 08:30:59
00246,AIMD NAS NORTH ISLAN,P9A0N9S,A1,2023-02-27 07:46:59
00246,AIMD NAS NORTH ISLAN,P9A0N9S,M3,2023-02-27 07:52:59
00246,AIMD NAS NORTH ISLAN,P9A0N9S,IW,2023-02-27 08:50:59
00246,AIMD NAS NORTH ISLAN,P9A0N9S,WS,2023-02-27 09:10:59
00246,AIMD NAS NORTH ISLAN,P9A0N9T,WS,2023-02-27 08:50:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,A1,2023-02-27 13:51:00
00246,AIMD NAS NORTH ISLAN,P9A0NCU,M3,2023-02-27 13:54:18.696000
00246,AIMD NAS NORTH ISLAN,P9A0NCU,IW,2023-02-28 07:30:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,WS,2023-02-28 07:45:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,M3,2022-09-07 14:43:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,IW,2023-03-01 07:00:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,WS,2023-03-01 07:15:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,WP,2023-02-28 08:43:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,M6,2023-03-03 12:21:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,IW,2023-03-07 07:00:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,WS,2023-03-07 07:15:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,WP,2023-03-01 12:06:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,M6,2023-03-07 13:27:59
00246,AIMD NAS NORTH ISLAN,P9A0P87,M3,2023-03-07 08:45:00
00246,AIMD NAS NORTH ISLAN,P9A0P87,IW,2023-03-07 09:05:59
00246,AIMD NAS NORTH ISLAN,P9A0P87,WS,2023-03-07 10:10:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,WP,2023-03-07 11:37:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,M6,2023-03-10 11:24:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,IW,2023-03-14 10:00:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,WS,2023-03-14 10:15:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,M3,2023-03-07 13:30:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,IW,2023-03-15 08:00:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,WS,2023-03-15 08:15:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,A1,2023-03-15 10:42:00
00246,AIMD NAS NORTH ISLAN,P9A0QF4,A1,2023-03-16 09:21:00
00246,AIMD NAS NORTH ISLAN,P9A0QF4,M3,2023-03-16 10:29:55.506000
00246,AIMD NAS NORTH ISLAN,P9A01S0,WP,2023-03-15 12:07:59
00246,AIMD NAS NORTH ISLAN,P9A0QF4,IW,2023-03-16 11:00:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,M6,2023-03-16 11:17:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,M3,2023-03-16 12:33:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,M3,2023-03-15 12:08:45.230000
00246,AIMD NAS NORTH ISLAN,P9A0QAX,IW,2023-03-22 12:00:59
00246,AIMD NAS NORTH ISLAN,P9A0QAX,WS,2023-03-22 12:15:59
