uic,unit,mcn,act_take_cd,ref_loc_use,ddsn,awp_fg,ref_symb,fail_part_fg,fail_cage,fail_part_no,mal_dscrptn_cd,ty_itm_ind,matl_index,repl_reqd_fg,ovrd_cgpn_fg,ti_crit_fg,ti_maf_fg,proj_cd,scnd_adv_cd,cannib_fg,actl_rcpt_dttm,fail_qty,xref_ind,iss_pri_dsg,ord_dttm,ti_mcn,reqd_cage,reqd_part_no,ovrd_reqd_cgpn_fg,end_itm_rep_fg,reord_xref_ind,ord_otcpn_fg
00246,AIMD NAS NORTH ISLAN,P9A2SCZ,T,"AG-900VB-MAB-000, WP 998 00, PG 37, INDEX # 15",4296DL01,Y,BOLT,N,12437,A2846,814,C,I,Y,Y,N,N,BK0, ,N,1900-01-01 00:00:00,1,5,06,1900-01-01 00:00:00, ,12437,A2846,Y,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SDP,4,NA 11-75A-51 WP 008 PG 8 ITEM 3,5055GW1B,N,SCREW,Y,F0110,E25125B60Q12ZJAPA,105,C,H,Y,N,N,N,Z82, ,N,2025-02-24 12:00:00,3,2,03,2025-02-24 11:30:40.820000, ,F0110,E25125B60Q12ZJAPA,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SDP,4,11-75A-51 WP 008 PG 5 ITEM 4,5055GW1C,N,NUT,Y,96906,MS21044C8,105,C,I,Y,N,N,N,Z82, ,N,2025-02-24 13:52:47.260000,4,3,03,2025-02-24 11:30:43.790000, ,96906,MS21044C8,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SDP,4,NA 11-75A-51 WP 008 PG 10 ITEM 2,5055GW18,N,RING,Y,94404,Z321-016-000B,105,C,J,Y,N,N,N,Z82, ,N,2025-02-24 12:00:00,2,4,03,2025-02-24 11:30:32.563000, ,94404,Z321-016-000B,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SDP,4,NA 11-75A-51 WP 008 PG 10 ITEM 4,5056GW00,N,RING,Y,F8300,WB178A02512BVNL,105,C,K,Y,N,N,N,Z82, ,N,2025-02-25 15:20:35.023000,1,5,03,2025-02-25 11:41:26.143000, ,F8300,WB178A02512BVNL,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SDP,4,NA 11-75A-51 WP 008 PG 10 ITEM 6,5056GW01,N,RING,Y,F8300,WB178G01877BVNL,105,C,L,Y,N,N,N,Z82, ,N,2025-02-25 15:20:39.963000,1,6,03,2025-02-25 11:41:28.756000, ,F8300,WB178G01877BVNL,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SDP,4,NA 11-75A-51 WP 008 PG 10 ITEM 6,5059GW00,N,ORING,Y,F8300,WB178G01877BVNL,105,C,M,Y,N,N,N,Z82, ,N,2025-02-28 12:54:38.413000,1,7,03,2025-02-28 11:07:18.443000, ,F8300,WB178G01877BVNL,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SDP,4,NA 11-75A-51 WP 008 PG 10 ITEM 4,5059GW01,N,ORING,Y,F8300,WB178A02512BVNL,105,C,N,Y,N,N,N,Z82, ,N,2025-02-28 12:54:42.136000,1,8,03,2025-02-28 11:07:20.936000, ,F8300,WB178A02512BVNL,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70K,N,O-RING,N,99207,4041T59P03,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:42:39.476000,1,2,03,2025-02-21 10:31:14.190000, ,99207,4041T59P03,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70L,N,GASKET,N,99207,3032T42P02,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:49:38.073000,1,3,03,2025-02-21 10:31:16.843000, ,99207,3032T42P02,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70M,N,SEAL,N,99207,5044T23G01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:49:41.730000,1,4,03,2025-02-21 10:31:18.553000, ,99207,5044T23G01,N,N,0,N
